Question Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Flag
1,"1.   Samuel Hahneman is referred to as Founding Father of: 
[AIIMS Nov 1993]",Ayurveda,Allopathy,Homeopathy,Yoga,,C,no
2,7.   Cradle of civilization is:,Mesopotamia,Haddapa,Mohenjodaro,"Sindhu ghati

[Bihar 2006]",,A,no
3,"2.   Match the following authors and their books: 

A.  Sushruta, I-Airs, Water and Places
B.  Avicenna, II-Sushruta Samhita
C.  Hippocrates, III-Canon of Medicine","A-III, B-I, C-II","A-III, B-II, C-I","A-II, B-I, C-III","A-II, B-III, C-I

[AIIMS May 1995]",,D,no
4,"3.   Who is known as ‘First True Epidemiologist’ in history 
[AIIMS Sep 1996]

of medicine?",John Snow,Hippocrates,James Lind,Joseph Lister,,B,no
5,"4.   Match the following: 

[AIPGME 1994]

A.  Sushruta, I-Hindu God of Medicine
B.  Dhanvantari, II-Father of Public Health
C.  Hippocrates, III-Father of Medicine
D.  Cholera, IV-Father of Indian Surgery","A-III, B-IV, C-II, D-I","A-IV, B-III, C-II, D-I","A-IV, B-I, C-III, D-II","A-I, B-IV, C-II, D-III",,C,no
6,"5.   Sushruta Samhita was translated by:  

[PGI June 03]",Galen,Celsus,Harnel,Charak,Hessler,E,no
7,"8.	  Which	medicine	claims	to	be	the	World’s	first	organized	
[PGMCET 2015]

body of medical knowledge?",Indian,Chinese,Egyptian,"Mesopotamian

SCIENTIFIC MEDICINE",,B,no
8,"9.   Match the following: 

[AIIMS Nov 1993]

A.  Pattenkoffer, I-Spontaneous Generation Theory
B.  Louis Pasteur, II-Germ Theory of Disease
C.  Aristotle, III-Multifactorial Causation of Disease","A-III, B-I, C-II","A-III, B-II, C-I","A-II, B-I, C-III","A-II, B-III, C-I",,B,no
9,"10.   Match  the  following  Pioneers  of  Preventive  Medicine 
[AIPGME 1996]

and their achievements: 
A.  Edward Jenner, I-Transmission of Yellow Fever
B. 
James Lind, II-Vaccination against Smallpox
C.  Walter Reed, III-Prevention of Scurvy","A-III, B-I, C-II","A-III, B-II, C-I","A-II, B-I, C-III","A-II, B-III, C-I",,D,no
10,"11.   Which of the following is known as “Father of Public 
[AIIMS Feb 1997]
[Recent Question 2013, 2014]

Health”?",Tuberculosis,Cholera,John Snow,Louis Pasteur,,B,no
11,"6.   Father of Indian Surgery is: 

[Recent Question 2012]

  12.  Smallpox vaccine was introduced by:",Paul Ehrlich,Robert Koch,Louis Pasteur,"Edward Jenner

[AIIMS Dec 1992]
[DNB 2011, MP 2003]

mebooksfree.com

Review of Preventive and Social MedicineHistory of Medicine",,D,no
12,13.   Malarial parasite was discovered by:,Robert Koch,Louis Pasteur,Charles Alphonse Laveran,"Ronald Ross

[Recent Question 2013]",,D,no
13,14.   James Lind is related to the discovery of:,Prevention of scurvy,Cause of scurvy,Pathogenesis of scurvy,"All

[DNB December 2010]",,C,no
14,"15.   Theory of web of causation was given by:  

[Recent Question 2013] [DNB December 2010]",McMohan and Pugh,Pettenkoffer,John snow,"Louis Pasteur

Review Questions",,A,no
15,"16.   Who discovered the transmission of malaria by Anophe-
[TN 2003]
[Recent Question 2013]

line mosquitoes?",Ronald Ross,Laveran,Muller,"Pampana

MODERN MEDICINE",,A,no
16,"17.   Elimination  of  following  diseases  in  India  is  on  the 
[AIPGME 2001]

anvil except:",Yaws,Leprosy,Malaria,Kala Azar,,C,no
17,18.   Yoga is considered a part of Modern medicine. It will be,,,Prevention of scurvy by citrus fruits,Web of causation,,B,yes
18,"21.   Edward Jenner died in: 

[Recent Question 2012] [Recent Question 2013]",1749,1775,1823,1920,,C,no
19,"22.   Term ‘Social Medicine’ was introduced by 

[Recent Ques tion 2015]",Jules Guerin,Crew,John Ryle,"Alfred Grotjhan

REVOLUTION IN MEDICINE",,A,no
20,"23.   Socialized medicine is: 

[AIIMS Nov 2006]",Health care at people’s expense,Charitable care at government expense,"Free medical care at government expense, regulated 

by professional groups",Integration of social medicine with health care,,C,no
21,"24.   All of the following are true about Socialized medicine 
[AIIMS November 2011]

except:",Ensures social equity - universal coverage,Reduces competition among practitioners,Use state funds for free medicine,Increase utilization of health facilities,,D,no
22,"25.   ‘Secret  of  national  health  lies  in  the  homes  of  people’ 
[Recent Question 2012]

statement by:",Indira Gandhi,Abraham Lincoln,Joseph Bhore,"Florence Nightingale

[AIPGME 2012]",,D,no
23,"26.   First bacterium discovered as cause of a disease was:  

[Recent Question 2014]

a part of:",Physiotherapy,Preventive medicine,Therapeutic medicine,Caloric upsurper,,,yes
24,"19.   The  lawyer  who  designed  the  Public  Health  Act  1848 
[Recent Question 2013]

was:",TB bacillus,Leprosy bacillus,Anthrax bacillus,"Plague bacillus

MISCELLANEOUS",,,yes
25,"27.	  Quarantine	was	first	applied	for:

  20.  James Lind is known for: 

[Recent Question 2012] [Recent Question 2013]",HIV/AIDS,Tuberculosis,Leprosy,"Plague

[AIPGME 2005]

45

mebooksfree.com

History of MedicineHistory of Medicine",,D,no
26,"28.   Match the following:  

[AIIMS May 2001]

A.  Edward Jenner, I- Rabies and Anthrax
B.  Louis Pasteur, II- Small pox
C.  Albert Calmette and Camille Guérin, 

III- Poliomyelitis

D.  Pierre Lépine, IV- Tuberculosis","A-II, B-I, C-IV, D-III","A-II, B-III, C-IV, D-I","A-IV, B-I, C-III, D-II","A-I, B-IV, C-II, D-III",,A,no
27,29.   WHO declared that smallpox has been eradicated in:,May-78,Sep-84,May-80,"July 1987

[AIPGME 1991]",,C,yes
28,"30.   Which  of  the  following  diseases  is  known  as  “Baro- 
[AIIMS May 1995]

meter of Social Welfare” ?",Tuberculosis,Cholera,Leprosy,Malaria,,A,no
29,"31.   Breast Feeding Week is celebrated on: 

[Recent Question 2012, 2013, 2014]",1st week of March,1st week of July,1st week of August,1st December,,C,no
30,32.   Black death is:,Plague,Dengue,7th April,8th May,,A,no
31,34.   Who is regarded as Father of Public Health?,Louis Pasteur,Cholera,John snow,"Robert Koch

Review Questions",,B,no
32,35.   3 day disease is:,Rubella,Rubeola,Roseola infantum,"Measles

[DNB June 2011]

[Bihar 2004]",,A,no
33,"36.   Origin of SPM dates back to:  

[TN 2005]",17th Century,18th Century,19th Century,20th Century,,B,no
